generation,individual_rank,individual_cost,best_cost,worst_cost,mean_cost,std_cost,normalized_cost,relative_gap_to_best,age,stagnation,unique_edges_ratio,mean_edge_cost,max_edge_cost,local_search_applied,improved,delta_cost,local_search_time_ms
2,8,6.744991199567278,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.7402027914337682,0.2803670605365898,3,1,0.0,0.22483303998557597,0.7519417186029532,0,0,0.0,0.0
2,11,7.3577989624901665,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,1.0473178374886627,0.3966932129173251,3,1,0.03333333333333333,0.24525996541633888,0.7694344637961699,1,1,2.5618336284835843,3.296900002169423
2,1,5.268013687216005,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.0,0.0,3,1,0.0,0.1756004562405335,0.5815568362266748,0,0,0.0,0.0
2,1,5.268013687216005,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.0,0.0,3,1,0.0,0.1756004562405335,0.5815568362266748,0,0,0.0,0.0
2,2,5.93169406381702,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.33261039066047005,0.12598303952998113,3,1,0.0,0.19772313546056733,0.6183272391219883,1,1,1.1357287298104382,3.3148000002256595
2,2,6.11231401352089,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.42312997531318064,0.16026919754475308,3,1,0.0,0.20374380045069632,0.7694344637961699,1,1,1.3310394087615158,3.2042999991972465
2,4,6.171344200805004,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.4527135736016884,0.171474595022623,3,2,0.0,0.2057114733601668,0.7694344637961699,1,1,1.375378866798422,1.9618000005721115
2,4,6.171344200805004,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.4527135736016884,0.171474595022623,3,2,0.0,0.2057114733601668,0.7694344637961699,1,1,1.375378866798422,1.6775000003690366
2,2,6.146626190348623,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.4403258830745822,0.16678250196364608,3,3,0.0,0.2048875396782874,0.9025141838803343,0,0,0.0,0.0
2,9,6.895411652782671,5.268013687216005,7.263382428652898,6.395332026318406,0.5543623965384081,0.8155875812681889,0.3089206031328099,3,3,0.0,0.22984705509275574,0.9025141838803343,0,0,0.0,0.0
3,2,4.795965334006582,4.781274604759374,6.744991199567278,5.266079439234962,0.6388754663439059,0.00748108422877862,0.003072555011290259,4,1,0.0,0.15986551113355274,0.5815568362266748,1,0,0.0,0.8693000017956365
3,2,4.795965334006582,4.781274604759374,6.744991199567278,5.266079439234962,0.6388754663439059,0.00748108422877862,0.003072555011290259,4,1,0.0,0.15986551113355274,0.5815568362266748,0,0,0.0,0.0
3,9,5.684268711983675,4.781274604759374,6.744991199567278,5.266079439234962,0.6388754663439059,0.4598393218307728,0.1888605407280818,4,1,0.0,0.18947562373278923,0.845727678231687,1,1,0.8883033779770928,2.627499998197891
3,9,5.95158886024947,4.781274604759374,6.744991199567278,5.266079439234962,0.6388754663439059,0.595969020470889,0.24477034938029754,4,1,0.0,0.198386295341649,0.6135799115013165,1,1,1.1556235262428878,4.239199999574339
